transcript_id	tissue_name	rpkm_mean	rpkm_std	rpkm_median	coef_variation	max
ENST00000311351	Heart - Left Ventricle	4.918	2.624	5.016	0.533520763348	11.988
ENST00000311351	Brain - Cortex	2.820	2.093	2.284	0.742400734391	8.933
ENST00000311351	Muscle - Skeletal	1.427	1.176	1.081	0.823707189763	4.833
ENST00000311351	Brain - Spinal cord (cervical c-1)	3.162	2.173	2.551	0.687242014384	8.128
ENST00000311351	Uterus	1.627	1.274	1.413	0.78327034506	5.311
ENST00000311351	Brain - Nucleus accumbens (basal ganglia)	2.584	1.997	2.171	0.772957904515	7.622
ENST00000311351	Brain - Caudate (basal ganglia)	2.054	1.625	1.679	0.791409009218	6.402
ENST00000311351	Minor Salivary Gland	2.147	1.603	1.491	0.746565831445	5.921
ENST00000311351	Artery - Aorta	2.597	2.041	2.198	0.785954157143	7.958
ENST00000311351	Whole Blood	0.760	0.787	0.549	1.03511972111	3.102
ENST00000311351	Kidney - Cortex	3.944	2.568	3.832	0.651024881266	9.706
ENST00000311351	Nerve - Tibial	1.619	1.367	1.196	0.844438481024	5.697
ENST00000311351	Brain - Frontal Cortex (BA9)	3.630	2.535	2.910	0.698344826289	10.378
ENST00000311351	Adipose - Visceral (Omentum)	2.547	2.061	2.043	0.809338476732	8.450
ENST00000311351	Adrenal Gland	3.940	2.595	3.323	0.658461117344	11.119
ENST00000311351	Lung	2.014	1.671	1.525	0.82992509344	6.675
ENST00000311351	Cells - Transformed fibroblasts	2.152	1.483	1.760	0.689304048318	6.564
ENST00000311351	Artery - Tibial	2.602	1.954	2.106	0.751117809106	7.979
ENST00000311351	Colon - Sigmoid	4.019	3.399	2.974	0.845790378282	13.082
ENST00000311351	Pituitary	4.041	2.611	3.565	0.646205275988	11.193
ENST00000311351	Brain - Substantia nigra	3.234	2.163	3.238	0.66898587851	9.468
ENST00000311351	Cells - EBV-transformed lymphocytes	3.097	1.798	2.917	0.580596114283	7.998
ENST00000371222	Thyroid	65.210	51.242	42.802	0.785803736112	220.417
ENST00000371222	Testis	12.591	4.282	11.997	0.340075921187	24.571
ENST00000371222	Brain - Anterior cingulate cortex (BA24)	22.668	9.882	20.521	0.435935091148	49.879
ENST00000371222	Skin - Not Sun Exposed (Suprapubic)	143.398	110.559	108.566	0.770992466877	464.711
ENST00000371222	Ovary	100.423	46.793	91.237	0.46595532524	239.575
ENST00000371222	Vagina	89.632	36.008	85.601	0.401729573738	194.810
ENST00000371222	Heart - Atrial Appendage	52.813	30.206	44.518	0.571932443232	128.539
ENST00000371222	Esophagus - Muscularis	38.303	19.521	32.989	0.50965751255	97.464
ENST00000371222	Brain - Cerebellar Hemisphere	24.670	7.155	25.565	0.290017235528	42.042
ENST00000371222	Small Intestine - Terminal Ileum	36.104	10.562	34.096	0.292535219175	66.549
ENST00000371222	Breast - Mammary Tissue	175.467	145.125	131.142	0.82707469111	612.354
ENST00000371222	Stomach	83.507	42.003	72.267	0.502991609233	215.077
ENST00000371222	Brain - Cerebellum	23.188	7.142	22.600	0.307981585419	42.829
ENST00000371222	Esophagus - Mucosa	40.613	20.734	35.964	0.510538090954	101.420
ENST00000371222	Brain - Putamen (basal ganglia)	15.986	10.000	13.288	0.625535742146	49.901
ENST00000371222	Artery - Coronary	57.647	32.947	48.421	0.571533620231	155.495
ENST00000371222	Liver	41.275	40.893	23.708	0.990741702052	171.875
ENST00000371222	Esophagus - Gastroesophageal Junction	54.376	39.424	37.349	0.725012810741	168.591
ENST00000371222	Brain - Hypothalamus	24.388	14.807	19.718	0.607135639231	68.348
ENST00000371222	Colon - Transverse	57.089	29.528	47.680	0.517232921772	147.807
ENST00000371222	Prostate	49.419	22.880	43.083	0.462974848631	112.042
ENST00000371222	Brain - Amygdala	21.576	10.596	19.518	0.491083287106	56.897
ENST00000371222	Pancreas	48.681	21.335	43.445	0.438251076736	112.723
ENST00000371222	Adipose - Subcutaneous	151.328	111.544	119.418	0.737100349781	495.993
ENST00000371222	Skin - Sun Exposed (Lower leg)	95.751	55.718	82.485	0.581904989568	252.081
ENST00000371222	Spleen	15.694	4.835	15.842	0.308086129185	28.510
ENST00000371222	Brain - Hippocampus	24.360	15.319	19.626	0.628858559897	69.505
ENST00000371222	Heart - Left Ventricle	26.948	14.264	22.570	0.529309215855	70.721
ENST00000371222	Brain - Cortex	23.233	10.119	21.221	0.43555228092	56.885
ENST00000371222	Muscle - Skeletal	31.476	12.331	29.725	0.391772272184	67.993
ENST00000371222	Brain - Spinal cord (cervical c-1)	32.376	19.206	26.200	0.59321481073	81.138
ENST00000371222	Uterus	80.680	27.525	78.976	0.34116766749	157.788
ENST00000371222	Brain - Nucleus accumbens (basal ganglia)	13.948	6.870	12.283	0.492552124064	38.207
ENST00000371222	Brain - Caudate (basal ganglia)	17.625	9.854	14.914	0.559051254919	47.573
ENST00000371222	Minor Salivary Gland	62.594	25.444	61.068	0.406484632359	114.841
ENST00000371222	Artery - Aorta	82.081	52.606	64.282	0.64089808342	243.708
ENST00000371222	Whole Blood	20.717	25.587	5.693	1.2350758962	99.308
ENST00000371222	Kidney - Cortex	33.956	13.404	32.642	0.394749124358	63.165
ENST00000371222	Nerve - Tibial	101.426	48.583	91.144	0.479002686336	244.701
ENST00000371222	Brain - Frontal Cortex (BA9)	22.649	9.601	20.586	0.423892540668	53.705
ENST00000371222	Adipose - Visceral (Omentum)	178.134	109.663	161.364	0.615621205877	482.709
ENST00000371222	Adrenal Gland	24.723	15.389	19.166	0.622461676705	70.418
ENST00000371222	Lung	95.449	59.714	79.511	0.625611249881	275.047
ENST00000371222	Cells - Transformed fibroblasts	47.932	24.026	43.615	0.501258709578	119.329
ENST00000371222	Artery - Tibial	69.067	43.292	56.018	0.626805443245	204.527
ENST00000371222	Colon - Sigmoid	59.369	35.778	50.308	0.602628563121	172.741
ENST00000371222	Pituitary	38.151	24.440	32.573	0.640624350993	112.928
